Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
,,WhaleWave,,3-85,Taper,1,1,214,New,,,5,,4,17,28,,18,14,None-None-WhaleWave-None-3-85-Taper,,,,,,,,,,,,,,,,,,
,,WhaleWave,,7-60,Kick,1,1,214,New,,,5,,184,153,28,,5,5,None-None-WhaleWave-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,VictoryValkyrie,,1-80,Unite,1,1,214,New,,,2,,9,12,41,,15,15,None-None-VictoryValkyrie-None-1-80-Unite,,,,,,,,,,,,,,,,,,
,,VictoryValkyrie,,7-70,LowRush,1,1,214,New,,,2,,52,366,41,,8,1,None-None-VictoryValkyrie-None-7-70-LowRush,,,,,,,,,,,,,,,,,,
,,WizardArrow,,4-50,LowRush,1,1,214,New,,,3,,48,366,35,,10,1,None-None-WizardArrow-None-4-50-LowRush,,,,,,,,,,,,,,,,,,
,,CrimsonGaruda,,1-60,Flat,1,1,214,New,,,4,,539,6,31,,1,21,None-None-CrimsonGaruda-None-1-60-Flat,,,,,,,,,,,,,,,,,,
,,CrimsonGaruda,,1-70,LowRush,1,1,214,New,,,4,,198,366,31,,4,1,None-None-CrimsonGaruda-None-1-70-LowRush,,,,,,,,,,,,,,,,,,
,,CrimsonGaruda,,7-60,Point,1,1,214,New,,,4,,184,38,31,,5,12,None-None-CrimsonGaruda-None-7-60-Point,,,,,,,,,,,,,,,,,,
,,CrimsonGaruda,,9-60,Kick,1,1,214,New,,,4,,383,153,31,,2,5,None-None-CrimsonGaruda-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,ShinobiShadow,,1-70,Hexa,1,1,214,New,,,1,,198,354,54,,4,2,None-None-ShinobiShadow-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Might,Free,3-60,Hexa,1,1,214,New,,,2,4,279,354,41,4,3,2,Metal-None-Might-Free-3-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Might,Heavy,1-60,LowFlat,1,1,214,New,,,2,91,539,7,41,1,1,20,Metal-None-Might-Heavy-1-60-LowFlat,,,,,,,,,,,,,,,,,,
,,GillShark,,5-60,Zap,1,1,214,New,,,2,,101,9,41,,6,17,None-None-GillShark-None-5-60-Zap,,,,,,,,,,,,,,,,,,
,,GillShark,,7-70,Jolt,1,1,214,New,,,2,,52,74,41,,8,9,None-None-GillShark-None-7-70-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Brave,Jaggy,4-50,Jolt,1,1,214,New,,,5,12,48,74,28,3,10,9,Plastic-None-Brave-Jaggy-4-50-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Brave,Jaggy,3-60,LowFlat,1,1,214,New,,,5,12,279,7,28,3,3,20,Plastic-None-Brave-Jaggy-3-60-LowFlat,,,,,,,,,,,,,,,,,,
Plastic,,Brave,Jaggy,9-80,LowFlat,1,1,214,New,,,5,12,6,7,28,3,16,20,Plastic-None-Brave-Jaggy-9-80-LowFlat,,,,,,,,,,,,,,,,,,
Plastic,,Brave,Charge,9-70,Jolt,1,1,214,New,,,5,1,49,74,28,6,9,9,Plastic-None-Brave-Charge-9-70-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Brush,Slash,6-60,Point,1,1,214,New,,,3,2,53,38,35,5,7,12,Plastic-None-Brush-Slash-6-60-Point,,,,,,,,,,,,,,,,,,
Plastic,,Brush,Jaggy,3-60,Level,1,1,214,New,,,3,12,279,153,35,3,3,5,Plastic-None-Brush-Jaggy-3-60-Level,,,,,,,,,,,,,,,,,,
Plastic,,Brush,Heavy,1-60,Kick,1,1,214,New,,,3,91,539,153,35,1,1,5,Plastic-None-Brush-Heavy-1-60-Kick,,,,,,,,,,,,,,,,,,
,,RockLeone,,9-60,Orb,1,1,214,New,,,3,,383,6,35,,2,21,None-None-RockLeone-None-9-60-Orb,,,,,,,,,,,,,,,,,,
,,RockLeone,,7-60,Kick,1,1,214,New,,,3,,184,153,35,,5,5,None-None-RockLeone-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,RockLeone,,9-60,LowOrb,1,1,214,New,,,3,,383,85,35,,2,8,None-None-RockLeone-None-9-60-LowOrb,,,,,,,,,,,,,,,,,,
,,ViperTail,,9-60,Jolt,1,1,214,New,,,1,,383,74,54,,2,9,None-None-ViperTail-None-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,TriceraPress,,3-60,Spike,1,1,214,New,,,3,,279,2,35,,3,28,None-None-TriceraPress-None-3-60-Spike,,,,,,,,,,,,,,,,,,
,,TriceraPress,,5-60,Rush,1,1,214,New,,,3,,101,256,35,,6,3,None-None-TriceraPress-None-5-60-Rush,,,,,,,,,,,,,,,,,,
,,TriceraPress,,1-60,Rush,1,1,214,New,,,3,,539,256,35,,1,3,None-None-TriceraPress-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,HellsChain,,3-60,UnderNeedle,1,1,214,New,,,1,,279,19,54,,3,13,None-None-HellsChain-None-3-60-UnderNeedle,,,,,,,,,,,,,,,,,,
Metal,,Hunt,Slash,7-60,Kick,1,1,214,New,,,2,2,184,153,41,5,5,5,Metal-None-Hunt-Slash-7-60-Kick,,,,,,,,,,,,,,,,,,
Plastic,,Flame,Wheel,9-60,FreeBall,1,1,214,New,,,2,22,383,197,41,2,2,4,Plastic-None-Flame-Wheel-9-60-FreeBall,,,,,,,,,,,,,,,,,,
Plastic,,Flame,Wheel,3-60,Kick,1,1,214,New,,,2,22,279,153,41,2,3,5,Plastic-None-Flame-Wheel-3-60-Kick,,,,,,,,,,,,,,,,,,
,,DranDagger,,1-60,Accel,1,1,214,New,,,1,,539,3,54,,1,25,None-None-DranDagger-None-1-60-Accel,,,,,,,,,,,,,,,,,,
Metal,,Fang,Heavy,9-60,Kick,1,1,214,New,,,2,91,383,153,41,1,2,5,Metal-None-Fang-Heavy-9-60-Kick,,,,,,,,,,,,,,,,,,
Metal,,Fang,Heavy,9-60,TransPoint,1,1,214,New,,,2,91,383,2,41,1,2,28,Metal-None-Fang-Heavy-9-60-TransPoint,,,,,,,,,,,,,,,,,,
,,PhoenixRudder,,7-70,Level,1,1,214,New,,,2,,52,153,41,,8,5,None-None-PhoenixRudder-None-7-70-Level,,,,,,,,,,,,,,,,,,
,,PhoenixRudder,,7-60,Wedge,1,1,214,New,,,2,,184,39,41,,5,11,None-None-PhoenixRudder-None-7-60-Wedge,,,,,,,,,,,,,,,,,,
Plastic,,Reaper,Bumper,5-60,Hexa,1,1,214,New,,,1,1,101,354,54,6,6,2,Plastic-None-Reaper-Bumper-5-60-Hexa,,,,,,,,,,,,,,,,,,
,,OptimusPrimal,,1-60,LowRush,1,1,214,New,,,1,,539,366,54,,1,1,None-None-OptimusPrimal-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,LightningL-Drago,,7-60,Level,1,1,214,New,,,2,,184,153,41,,5,5,None-None-LightningL-Drago-None-7-60-Level,,,,,,,,,,,,,,,,,,
,,LightningL-Drago,,3-60,UnderFlat,1,1,214,New,,,2,,279,9,41,,3,17,None-None-LightningL-Drago-None-3-60-UnderFlat,,,,,,,,,,,,,,,,,,
,,PhoenixFeather,,3-60,Level,1,1,214,New,,,1,,279,153,54,,3,5,None-None-PhoenixFeather-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,BlackShell,,1-60,Kick,1,1,214,New,,,1,,539,153,54,,1,5,None-None-BlackShell-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,CrocCrunch,,2-60,LowRush,1,1,214,New,,,2,,4,366,41,,18,1,None-None-CrocCrunch-None-2-60-LowRush,,,,,,,,,,,,,,,,,,
,,CrocCrunch,,3-70,Jolt,1,1,214,New,,,2,,13,74,41,,13,9,None-None-CrocCrunch-None-3-70-Jolt,,,,,,,,,,,,,,,,,,
TestBahamut,TestBreak,TestBlitz,TestKnuckle,Test1-50,TestIgnition,1,1,214,New,,,1,1,1,1,54,6,28,34,TestBahamut-TestBreak-TestBlitz-TestKnuckle-Test1-50-TestIgnition,,,,,,,,,,,,,,,,,,
